N = 100,,N = 200,,N = 400,,N = 800,,N = 1000,
104,10436,104,20836,104,41636,104,83236,104,104036
104,104.36,104,104.18,104,104.09,104,104.045,104,104.036
108,1.89,108,1.35,108,0.96,108,0.68,108,0.61
108,,108,,108,,108,,108,
120,,120,,120,,120,,120,
108,,108,,108,,108,,108,
112,,112,,112,,112,,112,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
104,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,104,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,104,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,104,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
,,,,,,,,104,
